#OTU ID	d16s1r1	d16s2r1	d16s2r2	d17s1r1	d17s2r1	d17s2r2	d18s1r1	d18s2r1	d18s2r2	d19s1r1	d19s2r1	d19s2r2	d20s1r1	d20s2r1	d20s2r2	d21s1r1	d21s2r1	d21s2r2	d22s1r1	d22s2r1	d22s2r2	d23s1r1	d23s2r1	d23s2r2	d24s1r1	d24s2r1	d24s2r2	d25s1r1	d25s2r1	d25s2r2	d26s1r1	d26s2r1	d26s2r2	d28s1r1	d28s2r1	d28s2r2	d29s1r1	d29s2r1	d29s2r2	d30s10r1	d30s11r1	d30s12r1	d30s13r1	d30s14r1	d30s1r1	d30s2r10	d30s2r11	d30s2r12	d30s2r1	d30s2r2	d30s2r3	d30s2r4	d30s2r5	d30s2r6	d30s2r7	d30s2r8	d30s2r9	d30s3r1	d30s4r1	d30s5r1	d30s6r1	d30s7r1	d30s8r1	d30s9r1	d31s1r1	d31s2r1	d31s2r2	d32s1r1	d32s2r1	d32s2r2	d33s1r1	d33s2r1	d33s2r2	d34as1r1	d34as2r1	d34as2r2	d34bs1r1	d34bs2r1	d34bs2r2	d35s1r1	d35s2r1	d35s2r2	d42s1r1	d42s2r1	d42s2r2	d63s1r1	d63s2r1	d63s2r2	spike1	spike2	spike3	spike4	STD	STDspike	taxonomy
43	274	51	55	80	54	27	345	383	489	493	477	389	507	383	343	375	513	477	482	531	399	443	548	555	0	0	2	17	6	10	0	0	0	16	27	28	1	7	12	16	0	0	175	5	2	14	2	3	0	1	0	0	0	0	3	0	2	64	15	1	48	1	1	7	11	67	16	14	37	49	48	45	98	19	14	27	160	8	9	60	33	38	226	322	355	11	32	33	7	2	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Negativicutes; 100%; Selenomonadales; 100%; Acidaminococcaceae; 100%; Phascolarctobacterium; 100%
44	249	33	21	80	47	35	996	292	340	264	220	199	67	63	50	518	614	537	173	94	82	913	901	823	1	2	1	49	30	24	0	2	0	158	68	31	43	57	105	12	4	2	61	5	1	5	3	6	3	3	2	2	0	1	8	5	5	34	11	2	46	0	3	15	108	180	108	4	8	13	11	19	48	11	3	5	14	6	2	59	31	14	1253	1287	1218	11	49	74	5	2	0	2	0	1	"Root; 100%; Bacteria; 100%; ""Bacteroidetes""; 100%; ""Bacteroidia""; 100%; ""Bacteroidales""; 100%; Bacteroidaceae; 100%; Bacteroides; 100%"
45	20	2	0	45	42	38	64	63	69	99	123	125	67	100	154	57	68	64	142	117	119	118	77	85	96	144	139	160	204	138	120	50	45	90	128	166	130	175	180	145	152	167	176	128	96	135	130	126	126	125	138	97	114	125	124	135	108	179	147	92	180	166	152	122	129	146	161	197	166	165	153	151	165	197	39	17	55	26	37	102	159	134	95	93	124	83	114	122	2	1	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 99%; Ruminococcaceae; 99%; Intestinimonas; 72%
46	34	3	3	131	37	11	84	95	114	164	183	226	46	73	32	89	121	102	316	327	268	61	107	97	22	21	23	247	147	98	10	1	2	64	171	157	75	133	160	215	82	66	426	7	6	122	92	84	51	39	38	39	41	48	67	53	64	321	146	4	303	82	53	165	36	38	32	32	19	28	37	83	73	248	0	2	7	0	0	5	4	9	239	264	279	225	256	242	0	0	1	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 98%; Clostridia; 98%; Clostridiales; 98%; Ruminococcaceae; 74%; Flavonifractor; 19%
47	47	16	7	44	75	73	61	74	88	142	112	98	92	140	145	48	50	48	107	102	92	117	146	147	78	52	77	131	142	122	117	92	110	88	148	182	74	100	112	57	83	76	91	141	90	52	64	46	70	55	41	37	56	77	54	64	41	76	63	65	55	57	77	54	148	206	198	326	258	299	202	210	211	214	63	57	95	86	64	142	150	145	158	124	149	191	182	154	4	0	1	1	0	1	Root; 100%; Bacteria; 100%; Firmicutes; 84%; Clostridia; 53%; Clostridiales; 43%; Ruminococcaceae; 17%; Cellulosibacter; 13%
48	286	261	314	160	130	100	39	396	479	105	184	166	150	77	97	129	107	105	158	56	113	71	128	65	20	23	25	153	91	137	60	50	59	13	5	9	327	135	100	113	81	141	157	316	329	135	111	121	49	89	98	66	82	102	128	125	111	145	144	335	170	129	106	134	36	41	41	29	129	141	66	96	101	114	32	36	44	18	27	17	2	3	4	1	8	4	9	4	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Peptostreptococcaceae; 100%; Intestinibacter; 88%
49	194	144	114	195	232	201	230	257	324	397	503	479	31	168	167	262	208	224	189	114	123	431	403	416	73	85	131	186	52	53	50	35	39	223	54	29	60	10	13	44	38	25	50	160	92	27	16	15	20	23	17	14	9	16	15	12	6	73	44	54	47	45	23	39	217	373	205	106	174	197	71	38	56	19	135	126	86	14	20	21	12	19	22	75	74	13	46	65	3	2	0	0	0	1	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 99%; Clostridium XlVa; 78%
50	68	3	3	28	8	5	162	56	79	177	173	135	50	65	91	233	332	228	108	133	72	355	281	295	3	4	8	46	43	30	1	1	0	60	97	70	58	72	113	100	58	46	189	24	3	31	62	38	18	17	22	23	22	27	26	25	28	125	97	9	64	15	35	88	116	130	104	68	56	60	64	88	148	12	0	1	21	3	2	79	28	24	316	286	315	40	27	30	5	1	0	0	0	1	"Root; 100%; Bacteria; 100%; ""Bacteroidetes""; 100%; ""Bacteroidia""; 100%; ""Bacteroidales""; 100%; ""Rikenellaceae""; 100%; Alistipes; 100%"
51	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	3164	2433	"Root; 100%; Bacteria; 100%; ""Proteobacteria""; 100%; Gammaproteobacteria; 100%; Pseudomonadales; 100%; Pseudomonadaceae; 100%; Pseudomonas; 98%"
52	0	0	0	2	1	0	5	6	3	265	142	147	0	22	11	56	95	89	479	434	451	61	218	145	7	15	8	123	102	86	8	0	1	7	296	271	5	50	69	68	19	16	224	1	1	131	160	98	26	26	30	21	23	54	73	91	76	155	116	0	108	18	12	179	9	7	6	134	61	44	97	225	189	50	0	0	0	0	0	11	0	0	106	95	107	110	20	9	1	2	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 96%; Clostridia; 95%; Clostridiales; 95%; Ruminococcaceae; 78%; Anaerotruncus; 39%
53	72	45	27	17	12	21	4	2	3	17	16	20	26	53	49	5	10	11	8	11	6	77	47	66	46	46	46	111	86	135	152	58	39	131	76	80	69	97	103	92	86	56	104	68	36	69	94	68	67	97	97	82	81	87	56	71	68	86	92	59	38	63	58	107	27	36	39	59	46	25	64	60	69	15	215	288	328	277	284	179	157	134	96	97	120	67	11	31	1	0	0	0	0	1	Root; 100%; Bacteria; 100%; Firmicutes; 99%; Clostridia; 99%; Clostridiales; 99%; Lachnospiraceae; 93%; Clostridium XlVb; 80%
54	258	239	193	132	104	115	170	257	276	298	463	458	24	186	153	249	187	180	98	61	55	635	509	646	65	68	70	203	42	33	28	11	14	90	17	3	29	2	12	55	25	11	78	64	32	2	2	3	22	6	10	1	0	0	1	4	8	65	36	10	28	22	13	39	267	390	257	56	157	213	52	61	103	12	226	237	86	12	19	19	16	6	36	50	65	1	18	12	3	1	0	2	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 95%; Clostridium XlVa; 33%
55	106	101	50	213	81	101	229	214	125	426	363	306	38	30	23	876	309	317	311	247	274	77	59	59	30	19	10	21	14	74	49	18	7	326	37	44	106	137	108	178	158	142	51	120	101	147	108	131	204	192	204	110	104	75	126	93	193	229	181	78	67	188	175	181	31	45	35	184	176	187	56	82	36	18	249	308	278	208	214	17	13	17	72	26	34	81	43	33	4	1	0	0	2	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 100%; Roseburia; 54%
56	8	0	0	42	20	16	35	30	24	70	48	58	11	53	34	41	69	63	228	221	172	15	89	50	10	20	19	36	30	20	6	3	0	49	125	99	46	80	151	132	21	24	470	9	4	52	42	42	11	18	13	8	13	21	33	24	23	211	112	2	238	44	29	100	32	54	32	28	35	49	33	86	73	125	1	3	9	3	5	12	10	7	57	61	71	47	100	70	1	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Ruminococcaceae; 100%; Oscillibacter; 70%
57	4	3	4	1	9	9	37	44	61	128	103	120	2	10	6	0	2	0	0	0	0	0	0	1	8	10	10	13	8	6	194	172	176	6	6	6	1	1	5	91	169	105	4	86	101	45	47	36	85	91	119	84	124	83	54	55	21	61	71	86	5	132	162	68	14	23	27	166	130	161	63	96	91	37	2	1	4	5	1	3	2	0	32	26	34	24	20	10	1	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Bacilli; 100%; Lactobacillales; 100%; Streptococcaceae; 100%; Lactococcus; 100%
58	907	2425	3345	108	59	66	16	178	140	1	5	7	3	0	0	14	5	10	22	15	20	10	8	18	89	69	84	12	5	7	1	0	0	1	3	1	1	0	1	0	2	2	0	13	16	1	0	1	2	4	2	1	2	0	0	3	0	0	1	10	0	2	2	2	2	5	3	30	49	59	20	21	20	26	0	2	10	15	10	3	4	3	27	23	27	0	0	0	0	1	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Clostridiaceae 1; 100%; Clostridium sensu stricto; 100%
59	461	362	355	366	157	105	218	129	165	61	71	65	85	43	41	78	99	89	103	80	78	145	158	182	0	1	3	19	4	8	0	0	0	7	30	29	0	4	2	5	0	0	47	0	2	3	1	2	2	0	0	0	2	1	3	0	1	15	2	1	11	0	0	4	8	37	33	3	5	2	10	3	12	1	5	8	15	1	1	41	10	10	112	118	104	0	2	3	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Negativicutes; 100%; Selenomonadales; 100%; Acidaminococcaceae; 100%; Acidaminococcus; 100%
60	43	8	6	8	4	7	101	64	111	89	104	69	32	20	18	234	158	121	79	39	40	188	244	211	2	2	4	37	13	7	4	2	0	27	12	14	28	22	43	33	6	5	118	19	4	3	1	10	2	3	2	5	3	6	2	2	0	35	14	3	46	1	3	23	145	219	134	47	60	55	40	60	99	11	2	1	6	2	1	13	20	8	73	261	273	10	32	49	1	1	0	0	0	0	"Root; 100%; Bacteria; 100%; ""Bacteroidetes""; 100%; ""Bacteroidia""; 100%; ""Bacteroidales""; 100%; Bacteroidaceae; 100%; Bacteroides; 100%"
61	58	23	18	97	110	111	135	111	123	86	77	93	45	107	93	63	81	79	91	70	90	98	75	61	163	157	167	62	62	57	83	82	54	61	71	40	123	140	120	74	113	89	87	170	187	81	77	62	62	63	97	56	69	55	58	77	58	66	62	160	84	119	110	109	184	206	158	155	143	143	152	147	116	188	111	105	69	83	62	66	114	107	97	141	151	107	103	81	1	2	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 98%; Coprococcus; 25%
62	157	21	9	34	23	29	434	244	294	695	566	393	135	123	85	524	499	447	187	184	134	518	414	415	5	4	4	51	19	26	1	2	0	123	56	47	57	70	96	65	14	19	176	14	6	22	21	9	8	5	10	13	10	9	18	8	16	97	42	10	88	5	6	63	271	288	193	65	51	61	30	74	156	14	6	3	13	3	8	60	48	29	193	317	298	61	112	148	6	2	0	0	0	1	"Root; 100%; Bacteria; 100%; ""Bacteroidetes""; 100%; ""Bacteroidia""; 100%; ""Bacteroidales""; 100%; Bacteroidaceae; 100%; Bacteroides; 100%"
63	17	6	2	53	28	26	52	37	46	18	30	25	9	12	13	17	11	10	31	37	22	22	44	26	49	29	35	30	44	34	37	32	55	29	33	18	20	35	25	33	34	61	48	32	31	47	33	30	43	35	48	56	65	46	48	44	40	46	65	28	32	49	52	38	34	41	54	54	37	45	37	26	33	14	30	19	20	19	27	20	27	25	33	43	27	25	30	20	1	0	0	1	0	0	"Root; 100%; Bacteria; 100%; ""Actinobacteria""; 100%; Actinobacteria; 100%; Coriobacteridae; 100%; Coriobacteriales; 100%; ""Coriobacterineae""; 100%; Coriobacteriaceae; 100%; Asaccharobacter; 51%"
64	137	100	118	32	56	55	49	124	112	355	169	65	0	26	6	578	85	178	44	65	24	276	315	274	2	8	5	15	8	16	3	1	0	56	6	10	10	0	4	38	5	6	16	3	1	3	0	7	4	1	1	0	0	1	1	1	8	28	6	5	9	12	0	7	3	2	1	12	48	55	3	5	3	1	2	1	10	3	1	8	7	1	12	7	9	0	2	10	1	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 100%; Clostridium XlVa; 44%
65	14	2	1	10	4	11	8	14	17	5	16	9	15	19	11	8	6	6	12	18	18	25	23	24	36	39	25	36	40	51	27	31	27	26	19	24	56	61	75	48	42	36	90	30	38	57	49	32	37	38	34	40	56	50	47	42	40	57	63	39	81	35	61	57	33	24	25	51	50	65	41	89	61	74	17	18	23	22	19	22	17	16	32	44	36	23	30	34	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 100%; Blautia; 100%
66	13	5	1	68	25	21	102	44	75	63	58	122	25	33	26	20	25	21	41	51	36	32	27	23	54	35	38	16	34	32	24	38	32	22	18	34	17	22	20	39	26	30	22	13	11	22	30	28	27	25	32	28	28	38	27	28	26	29	34	15	14	20	27	26	25	24	28	57	42	47	34	41	54	53	10	13	21	18	12	31	28	35	6	14	9	57	59	49	1	1	0	0	0	0	"Root; 100%; Bacteria; 100%; ""Actinobacteria""; 100%; Actinobacteria; 100%; Coriobacteridae; 100%; Coriobacteriales; 100%; ""Coriobacterineae""; 100%; Coriobacteriaceae; 100%; Eggerthella; 100%"
67	13	0	0	121	68	65	160	74	105	54	65	88	6	14	15	31	32	35	31	29	41	21	35	45	33	44	38	38	41	23	19	5	9	28	43	38	17	16	12	23	46	40	11	14	13	31	28	24	45	34	50	30	48	39	14	31	19	21	24	13	3	32	40	29	84	74	98	66	72	71	29	37	35	16	0	4	8	1	1	55	11	13	33	27	23	10	19	18	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 99%; Anaerosporobacter; 21%
68	19	4	1	132	120	126	128	36	47	11	19	21	12	21	20	3	7	12	10	12	18	19	26	32	235	302	347	38	17	16	2	11	8	2	11	10	9	10	13	35	27	18	19	43	24	3	13	8	25	16	16	15	15	17	8	25	7	10	20	11	14	38	19	19	212	213	200	32	28	34	15	11	17	21	10	8	3	0	2	5	13	6	1	1	1	1	12	15	2	0	0	1	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Ruminococcaceae; 100%; Clostridium IV; 65%
69	252	350	293	15	32	33	32	100	110	98	96	26	8	28	14	225	119	105	44	97	54	140	129	146	2	5	6	76	18	40	1	0	4	89	5	4	19	4	0	20	5	4	25	2	3	6	2	3	4	2	0	1	5	2	4	2	2	25	8	1	13	2	4	19	1	6	1	4	38	61	4	7	4	0	5	1	7	3	2	16	12	7	31	10	27	2	17	22	2	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 100%; Lachnospiracea_incertae_sedis; 47%
70	18	5	4	217	279	263	164	58	67	19	15	23	9	27	17	5	10	8	13	5	10	20	13	11	6	14	26	98	54	60	42	4	9	27	8	7	18	11	12	30	21	10	13	77	40	9	12	8	16	15	9	10	4	4	4	7	1	12	22	27	9	33	19	11	412	385	299	25	45	45	7	11	16	9	5	14	25	7	9	13	47	38	31	28	49	159	40	16	2	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 100%; Fusicatenibacter; 58%
71	0	0	0	0	1	0	77	15	34	35	25	47	0	2	0	7	27	16	21	41	27	0	7	2	0	0	1	0	0	1	0	0	0	0	450	575	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	2	2	0	0	0	1	5	1	0	0	0	0	2	19	1	0	348	358	452	3	0	0	2	0	0	0	0	0	"Root; 100%; Bacteria; 100%; ""Verrucomicrobia""; 100%; Verrucomicrobiae; 100%; Verrucomicrobiales; 100%; Verrucomicrobiaceae; 100%; Akkermansia; 100%"
72	206	303	201	125	116	140	208	722	444	44	82	151	0	12	8	27	10	19	7	2	1	12	9	11	9	4	4	17	4	3	0	1	1	4	1	3	3	3	1	1	0	0	3	4	0	4	2	1	3	3	1	1	0	0	0	0	0	2	0	3	1	1	0	4	4	6	2	4	2	8	1	3	1	0	4	1	2	0	1	0	0	0	17	24	20	0	2	3	1	1	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 100%; Roseburia; 100%
73	8	0	0	16	13	26	30	13	16	14	20	16	12	16	15	9	20	17	21	22	26	47	32	38	51	27	45	61	55	73	27	16	24	27	38	43	33	48	69	21	46	27	30	27	21	16	21	16	19	31	27	20	31	29	34	24	33	25	24	30	38	22	25	29	25	26	31	24	25	32	24	30	27	32	1	1	7	5	4	33	30	34	16	23	23	16	23	52	1	1	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 99%; Clostridia; 98%; Clostridiales; 98%; Clostridiales_Incertae Sedis XIII; 63%; Mogibacterium; 45%
74	7	2	0	4	4	2	11	15	16	22	17	21	17	12	12	7	10	16	22	34	23	11	17	13	28	25	29	5	21	15	21	17	15	15	15	19	27	24	36	35	45	30	43	21	40	33	38	34	32	31	42	35	38	27	39	33	16	46	55	26	38	25	40	35	23	37	33	46	43	38	48	47	47	48	14	19	12	12	11	20	18	30	21	25	32	33	39	26	0	0	0	0	0	0	"Root; 100%; Bacteria; 100%; ""Actinobacteria""; 100%; Actinobacteria; 100%; Coriobacteridae; 100%; Coriobacteriales; 100%; ""Coriobacterineae""; 100%; Coriobacteriaceae; 100%; Gordonibacter; 100%"
75	30	42	67	7	0	3	3	163	129	32	56	33	6	28	13	0	0	0	11	7	12	11	27	14	11	9	8	24	28	35	20	14	13	2	6	3	43	20	16	69	107	76	30	205	183	29	31	30	34	75	59	53	53	48	28	39	21	14	35	123	37	81	52	38	26	28	30	156	185	142	150	184	171	155	4	1	2	0	1	30	6	6	0	3	3	2	1	2	0	1	0	0	1	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Erysipelotrichia; 100%; Erysipelotrichales; 100%; Erysipelotrichaceae; 100%; Turicibacter; 100%
76	13	10	12	53	47	65	59	43	37	84	71	73	59	85	44	16	18	11	42	32	28	33	25	35	65	67	53	28	33	44	49	59	35	2	9	12	8	8	5	10	13	6	5	18	23	5	5	3	3	9	11	12	8	6	16	4	4	4	17	18	10	8	8	10	13	10	10	28	29	20	19	19	24	13	3	6	7	7	7	14	7	6	15	24	14	15	11	14	1	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Erysipelotrichia; 100%; Erysipelotrichales; 100%; Erysipelotrichaceae; 100%; Clostridium XVIII; 100%
77	1	1	0	6	3	3	17	12	11	18	22	17	5	13	18	12	19	13	20	25	28	34	25	19	1	1	1	12	7	9	1	0	0	18	32	33	35	37	56	39	39	16	25	10	2	31	25	15	18	25	25	24	18	21	17	32	19	23	42	1	31	24	28	29	21	33	26	45	36	29	29	35	33	14	0	0	0	0	0	16	6	12	38	43	39	7	2	6	1	1	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 97%; Clostridia; 93%; Clostridiales; 92%; Clostridiales_Incertae Sedis XIII; 49%; Anaerovorax; 39%
78	163	10	8	2	2	4	36	18	35	12	23	12	9	7	5	108	58	49	20	18	20	96	127	145	0	1	0	3	0	2	0	0	0	27	18	4	26	106	123	22	5	11	27	2	0	6	20	6	8	6	50	4	1	10	6	1	5	21	11	0	33	2	4	10	28	13	11	20	34	38	9	18	21	1	2	0	4	2	3	14	9	13	79	54	53	0	9	13	1	1	0	0	0	0	"Root; 100%; Bacteria; 100%; ""Bacteroidetes""; 100%; ""Bacteroidia""; 100%; ""Bacteroidales""; 100%; ""Prevotellaceae""; 100%; Paraprevotella; 100%"
79	3	0	0	18	17	13	3	4	1	69	118	72	7	46	13	50	30	14	167	110	116	33	29	11	15	11	14	6	5	19	3	1	1	56	153	109	3	0	4	6	3	5	2	2	2	10	4	0	3	2	10	4	6	0	13	4	6	11	6	3	12	15	5	6	31	21	26	28	18	13	3	40	25	1	3	2	3	1	4	9	6	1	17	6	2	69	22	24	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 99%; Lachnobacterium; 49%
80	30	58	59	38	35	31	57	117	130	131	121	112	3	23	12	86	51	64	28	21	20	110	136	108	2	1	12	25	4	4	18	8	4	41	2	0	2	1	4	4	3	0	14	23	8	1	0	0	5	1	0	0	0	1	1	0	1	5	2	7	2	2	0	2	40	85	39	26	32	68	3	11	13	0	8	8	7	1	0	1	0	0	5	19	22	0	1	3	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 97%; Clostridium XlVa; 67%
81	2	0	0	121	37	40	77	21	28	9	15	9	3	7	11	3	4	3	10	14	9	14	15	27	11	19	22	55	31	38	8	4	7	5	17	31	17	24	13	23	27	16	24	16	8	10	13	14	7	9	20	7	5	12	13	13	14	25	30	5	25	20	10	16	134	130	125	26	27	23	9	9	10	30	2	5	5	1	1	7	13	7	1	2	2	11	11	15	1	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Ruminococcaceae; 100%; Clostridium IV; 100%
82	1	2	2	3	0	0	1	1	3	5	9	1	0	3	3	4	2	3	10	10	5	23	17	19	13	18	11	33	21	24	23	15	13	9	20	20	30	34	21	18	12	21	13	5	8	22	25	16	19	24	20	19	20	19	20	28	15	25	27	2	31	23	13	25	29	27	14	89	99	69	60	74	68	54	14	8	21	18	11	20	31	18	7	9	6	6	4	3	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Erysipelotrichia; 100%; Erysipelotrichales; 100%; Erysipelotrichaceae; 100%; Erysipelotrichaceae_incertae_sedis; 100%
83	5	1	0	8	3	0	22	17	18	66	72	72	25	53	25	34	50	62	69	73	46	17	26	24	9	8	6	23	30	24	6	2	2	11	40	38	32	36	32	40	11	10	78	7	2	22	20	22	7	13	14	16	12	16	11	15	15	51	25	3	91	14	25	24	27	35	40	44	18	30	44	62	64	85	4	2	0	0	0	10	3	2	3	46	30	6	8	14	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 99%; Coprococcus; 34%
84	9	6	4	8	9	2	6	4	11	14	11	13	25	20	34	17	19	20	20	17	23	44	25	38	45	43	46	32	37	42	35	46	46	15	52	41	34	25	37	29	28	34	38	26	34	21	24	17	31	24	21	25	23	40	28	27	19	22	23	33	27	30	33	26	86	59	87	78	51	63	51	46	52	42	23	25	9	21	13	15	24	25	3	3	5	11	6	16	0	1	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 100%; Blautia; 59%
85	3	0	0	1	2	3	6	4	5	10	6	4	17	11	7	4	7	12	2	1	4	184	123	149	60	52	26	142	102	152	60	45	42	4	6	9	27	47	30	7	2	9	3	6	9	9	5	8	0	3	7	6	4	5	9	9	7	8	14	2	10	1	6	9	23	16	9	22	18	16	19	19	8	0	3	1	11	12	7	11	7	3	5	5	4	1	3	3	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Erysipelotrichia; 100%; Erysipelotrichales; 100%; Erysipelotrichaceae; 100%; Coprobacillus; 84%
86	5	1	0	3	1	2	11	4	10	12	17	10	3	14	19	10	15	14	11	11	19	7	9	6	7	1	1	6	10	14	1	0	1	13	25	37	21	29	48	17	11	9	23	12	2	7	9	9	5	13	12	12	10	5	9	17	12	13	10	1	26	17	7	11	60	52	58	50	22	39	25	48	42	41	1	0	2	0	0	15	5	10	25	24	25	11	27	35	0	0	0	0	0	1	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Ruminococcaceae; 100%; Subdoligranulum; 66%
87	0	0	0	0	5	1	0	0	1	2	1	2	0	5	4	3	4	3	23	17	20	0	6	6	1	3	0	0	0	0	2	0	0	0	5	5	14	40	40	12	9	8	26	0	0	12	11	13	4	8	9	11	5	8	9	4	9	10	13	0	26	6	4	15	0	1	0	20	17	8	24	41	34	4	0	0	0	0	0	2	7	4	123	114	129	36	19	16	1	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 75%; Negativicutes; 26%; Selenomonadales; 26%; Veillonellaceae; 25%; Dendrosporobacter; 15%
88	45	9	2	5	5	2	123	41	53	39	41	45	18	30	16	73	107	80	17	19	18	133	83	125	0	0	0	15	6	8	0	0	0	13	8	9	4	6	9	5	0	1	13	7	1	3	1	1	0	0	0	0	0	1	0	0	0	8	0	2	5	1	0	1	48	66	33	2	8	8	7	11	39	8	0	1	1	0	0	5	2	3	59	77	61	3	8	10	0	0	0	0	0	0	"Root; 100%; Bacteria; 100%; ""Bacteroidetes""; 100%; ""Bacteroidia""; 100%; ""Bacteroidales""; 100%; ""Porphyromonadaceae""; 100%; Parabacteroides; 100%"
89	3	9	9	44	19	16	33	29	33	24	22	25	13	19	15	18	18	22	18	26	31	16	14	22	10	13	14	12	10	5	4	1	6	12	1	3	5	7	6	9	2	0	13	6	6	8	7	5	0	8	3	1	6	5	6	5	3	6	10	6	6	1	0	4	2	8	5	13	13	12	11	6	22	11	10	7	14	4	8	13	20	17	16	16	23	17	17	18	0	0	0	1	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 98%; Clostridia; 98%; Clostridiales; 98%; Ruminococcaceae; 93%; Clostridium IV; 81%
90	53	28	17	24	2	3	61	29	54	48	44	41	1	2	3	121	48	49	34	31	34	80	97	75	0	2	1	6	1	4	0	1	0	3	1	1	0	3	1	0	1	0	5	3	0	0	0	2	0	0	0	0	1	1	1	1	2	3	1	0	1	1	0	1	2	15	5	0	1	3	1	4	12	2	0	2	1	2	1	2	0	0	16	29	18	3	10	6	0	1	0	0	0	0	"Root; 100%; Bacteria; 100%; ""Proteobacteria""; 100%; Betaproteobacteria; 100%; Burkholderiales; 100%; Sutterellaceae; 100%; Parasutterella; 100%"
